student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout
205631,Female,CIVIL,Y,Primary,-,24.0,4.08179151622143,75.89388943790486,32131,4.0,22.4,51,0,5,No,0
216897,Male,ME,nan,NA,nan,19.0,4.227551346392402,67.16935330255303,26360,6.0,5.9,10,3,3,Yes,1
205436,NA,ME,Y,NA,N,25.0,5.225224207059131,60.91433171066088,15732,6.0,15.1,36,4,6,No,1
207353,FEMALE,ECE,nan,Postgraduate,-,26.0,4.471950342395741,74.58421768502862,42785,,17.3,3,1,2,Y,0
214784,M,COMMERCE,nan,NA,Yes,18.0,4.3223112948429385,76.72998966217123,16049,2.0,24.9,35,3,8,No,0
203473,Male,BIO,N,nan,,25.0,4.269367510490585,71.5759282237722,68582,5.0,17.6,20,2,1,Y,1
209656,,nan,N,NA,Y,26.0,6.013147412185251,89.2925569035329,75144,2.0,8.6,21,3,9,No,0
207181,NA,COMMERCE,Nope,nan,N,,5.137650102499441,71.3443811463776,67847,4.0,21.7,56,3,9,No,0
202090,Male,,Nope,Graduate,N,17.0,4.305949522782984,73.13804473278411,84148,6.0,8.7,3,2,6,Yes,1
217123,Female,ME,N,Secondary,No,23.0,6.637109625765237,100.0,71972,3.0,19.4,35,1,6,No,0
206206,FEMALE,BIO,N,Primary,No,24.0,5.68729146627823,68.88151229121468,30004,2.0,15.8,16,0,1,Yes,0
219859,Female,BIO,,Primary,,18.0,5.987094505776781,77.42381784128311,54711,4.0,14.4,36,0,9,No,1
203984,Other,ME,No,NA,Y,19.0,6.438574090119543,100.0,36262,3.0,21.5,50,1,2,Yes,0
205230,,ARTS,Yes,Graduate,-,19.0,5.214653292941033,88.16307242804542,64468,5.0,6.4,25,1,6,Yes,0
209948,FEMALE,ARTS,No,NA,-,25.0,4.496625050448346,68.21071032807046,75499,3.0,8.8,45,3,3,Yes,1
201512,NA,ARTS,No,None,nan,18.0,6.105569749333151,77.26363553557347,63106,2.0,12.1,23,3,9,Yes,0
208527,Female,ME,N,Graduate,nan,25.0,4.765677631902286,68.79082524222343,27912,2.0,12.1,19,0,5,No,0
205314,M,CS,No,Secondary,nan,21.0,5.073740505368029,83.33862122536995,55795,2.0,23.8,33,0,2,No,0
214313,,ARTS,Nope,Graduate,-,24.0,6.51064161235491,79.09218110181294,64197,3.0,5.3,30,1,1,nan,0
206958,Female,CIVIL,Yes,NA,Y,26.0,4.481530134235288,67.61597451282077,24868,2.0,15.5,16,1,8,No,0
214400,,nan,Nope,Secondary,-,24.0,6.7082420377796845,68.03706856705952,45804,3.0,5.3,4,4,0,Yes,0
211642,NA,CIVIL,,Graduate,Y,,5.807134956529088,75.06847704074619,61260,2.0,6.0,19,0,7,,0
209595,M,nan,Nope,,Y,17.0,6.4553229231336635,65.58703589930464,56338,6.0,16.4,28,0,8,No,1
207752,M,ARTS,No,nan,N,23.0,5.130015699514158,76.67413040036047,40251,3.0,9.2,4,4,3,,0
200341,Male,COMMERCE,nan,,,,6.475385329363803,92.88249639738882,85451,5.0,7.8,8,1,9,nan,0
216683,NA,COMMERCE,Yes,Postgraduate,nan,22.0,4.5728318197419835,95.77392785252646,73686,6.0,23.2,14,2,6,Yes,0
202202,NA,ME,nan,Secondary,-,21.0,6.661218347987453,68.67444281978615,51300,2.0,21.1,21,0,3,Yes,0
216037,Female,ME,N,Secondary,No,21.0,4.126194345455416,67.87725388335025,74766,4.0,11.4,59,1,3,Yes,0
201788,Male,ME,Yes,Secondary,N,26.0,5.519937661057195,86.7756104173326,30169,5.0,24.7,12,2,7,No,1
203335,Male,nan,No,Graduate,-,19.0,6.893011669714901,61.24438792552053,58251,6.0,9.1,55,2,5,N,0
206733,M,CIVIL,No,None,-,,5.449803837567346,66.08958699051067,40690,6.0,9.5,20,2,8,No,0
207087,Other,BIO,No,Secondary,N,23.0,6.62772198449854,65.8675982629988,54887,5.0,,8,1,6,No,1
202177,M,COMMERCE,N,Primary,nan,23.0,5.986076378041269,70.4291297155767,43709,5.0,19.9,49,0,5,,0
